id	title	description	coding
the-new-york-times	Zohran Mamdani and the Revenge of the Struggling Yuppie	When the city becomes a “luxury product,” even the comfortable start to rebel.	
the-new-york-times	An Emboldened Mamdani Sheds Conciliatory Tone	Fresh from a stunning victory, Zohran Mamdani, the mayor-elect, said in an interview that his supporters wanted “a politics of consistency” and aggressive action, including on taxing the rich.	
the-new-york-times	Where Mamdani Found the Blueprints to Run for Mayor	Before Zohran Mamdani became a state legislator, he helped South Asian New Yorkers who were in danger of losing their homes because of tax liens and job losses.	
the-new-york-times	Trump and Mamdani Will Meet at White House on Friday	The meeting between Zohran Mamdani, the mayor-elect of New York City, and President Trump will come after the two men have fiercely attacked one another.	
the-new-york-times	Zohran Mamdani Is Elected Mayor of New York City	Mr. Mamdani, a state lawmaker and democratic socialist, will be the first Muslim mayor in the city’s history.	
the-new-york-times	Trump and Mamdani Will Meet for First Time, With Implications for New York	Zohran Mamdani, the mayor-elect of New York City, will go to the White House on Friday. The stakes are high for the city.	
the-new-york-times	The Strategic Uncoupling of Zohran Mamdani and Brad Lander	Mr. Lander, the New York City comptroller, campaigned with Mr. Mamdani and once hoped to join him in City Hall. Now he is eyeing a congressional seat.	
the-new-york-times	She Runs the N.Y.P.D. He’ll Lead the City. Here’s Where They Disagree.	The New York City mayor-to-be, Zohran Mamdani, and the head of the Police Department, Jessica Tisch, have gaps to bridge on crime and policing.	
the-new-york-times	Mamdani, Mofongo and Rum: Democratic Squabbles Fade Away, for Now	At an annual gathering in Puerto Rico for New York’s political class, former foes of Zohran Mamdani put aside their differences and tried to get information about his inner circle.	
ca-national-news	Trump to meet Mamdani at White House on Friday	No detailed summary available in snippet.	
ca-national-news	Mamdani is turning Wall Street enemies into friends	Content Type: Opinion	
ca-national-news	Zohran Mamdani wins New York mayoral race	No detailed summary available in snippet.	
ca-national-news	In Zohran Mamdani, Democrats may have found their Trump-slayer	Content Type: Opinion	
ca-national-news	New York mayoral candidates prepare for heated election as Democrat Mamdani leads polls	No detailed summary available in snippet.	
ca-national-news	Cuomo congratulates Mamdani, tells crowd not to boo	Coverage of Andrew Cuomo's concession speech following the mayoral election.	
ca-national-news	Zohran Mamdani elected mayor of New York City	No detailed summary available in snippet.	
ca-national-news	Can Zohran Mamdani save the Democrats?	Content Type: Opinion	
ca-national-news	Democratic successes in local U.S. elections won’t soothe party’s anxieties about its future	Content Type: Analysis	
the-seattle-times	Trump and Mamdani meet Friday in the Oval Office. They've cast each other as adversaries for months	President Donald Trump has called New York City’s Mayor-elect Zohran Mamdani a “100% Communist Lunatic” and a “total nut job.”.	
the-seattle-times	Mamdani says he wants to talk affordability with Trump and isn't worried he's walking into a trap	New York City Mayor-elect Zohran Mamdani says he plans to center an upcoming meeting with Republican President Donald Trump on how the two opposing leaders could work to make the city a more affordable place to live.	
the-seattle-times	Trump says he and Mamdani will meet Friday in Washington, setting up clash of political opposites	President Donald Trump says he will meet with New York City Mayor-elect Zohran Mamdani in Washington later this week.	
the-seattle-times	New York Mayor-elect Mamdani says the city's current police commissioner will stay on the job	New York City Mayor-elect Zohran Mamdani says the city’s current police commissioner will remain in the post.	
the-seattle-times	For conservative media, New York City Mayor-elect Zohran Mamdani quickly becomes attack target	New York City's mayor-elect, Zohran Mamdani, has quickly become a target of conservative media figures.	
the-seattle-times	NYC Mayor-elect hopes to meet with Trump to discuss affordability	New York City Mayor-elect Zohran Mamdani says he hopes to meet with President Donald Trump to find ways the political polar opposites can work together on the central focus of his winning campaign: affordability.	
the-seattle-times	Trump plans to meet with Mamdani, says he'll 'work something out' with New York City's mayor-elect	President Donald Trump is indicating that he plans to meet with New York City’s mayor-elect Zohran Mamdani and says they’ll “work something out.”.	
the-seattle-times	New York Mayor-elect Mamdani taps a budget and policy veteran to be his No. 2 at City Hall	New York City Mayor-elect Zohran Mamdani has appointed a veteran of city and state government to be his first deputy mayor as he prepares to carry out his ambitious agenda.	
the-seattle-times	In Israel, Mamdani’s win in New York stirs alarm over shifting US attitudes	The election of Zohran Mamdani as New York City’s next mayor has sent a chill across Israel.	
the-seattle-times	Progressives warn Democrats against alienating the left and blast Schumer's Senate leadership	Democrats are riding high after Election Day wins and some are capitalizing on the victory of New York City Mayor-Elect Zohran Mamdani.	
the-seattle-times	Zohran Mamdani and London's Muslim mayor, Sadiq Khan, have much in common, but also key differences	As a left-leaning Muslim politician, London Mayor Sadiq Khan shares similarities with New York Mayor-elect Zohran Mamdani.	
the-seattle-times	Anti-Defamation League creates antisemitism tip line focused on Mamdani	The announcement came after a closing stretch of the mayoral campaign during which Mamdani’s detractors accused him of antisemitism, a charge he has rejected.	
the-seattle-times	As Republicans retire Pelosi from attack ads, they eye a new villain | Analysis	Nancy Pelosi is out, and Zohran Mamdani is in. Or so Republicans hope.	
the-seattle-times	Mamdani in Puerto Rico for an annual conference of New York political insiders	New York City Mayor-elect Zohran Mamdani is in Puerto Rico this weekend for an annual summit that brings New York’s politicians and lobbyists to sunny San Juan for strategy meetings, workshops and boozy confabs.	
the-seattle-times	Divided Jewish leaders react with warnings and hope as New York elects Zohran Mamdani as mayor	Within hours of Zohran Mamdani’s election as New York’s first Muslim mayor, there were swift and harsh reactions from his Jewish critics.	
the-seattle-times	Photos of Zohran Mamdani and his supporters as they celebrate his election as NYC's mayor	No summary available in snippet.	
the-seattle-times	Mamdani announces veteran transition team as he makes plans to carry out an ambitious agenda for NYC	Fresh off his historic victory in New York City’s mayoral election, Zohran Mamdani named a slate of seasoned officials to help lead his transition to City Hall.	
the-seattle-times	New York Muslims Exult in Mamdani’s Victory: ‘Now This Is Our Time’	When Zohran Mamdani is sworn in as mayor on Jan. 1, he will become the most prominent Muslim elected official in the U.S. His victory is also an inflection point for New York’s Muslims.	
the-seattle-times	Mamdani tells Trump that New York is ready to fight after president's threats fail to thwart voters	Zohran Mamdani has just been elected mayor of New York City and is already challenging President Donald Trump.	
the-seattle-times	Zohran Mamdani's rise: From Queens lawmaker to New York City mayor	Zohran Mamdani has stormed onto the national political scene by winning New York City's mayoral election.	
the-wall-street-journal	Is a Mayor Mamdani a Blessing in Disguise?	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	The Mamdani Millionaires Supporting the Socialist for NYC Mayor	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	Mamdani and the Left’s Alliance With Radical Islam	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	Mamdani Delivers Upset in New York Mayoral Primary	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	Notable & Quotable: Mamdani and Shoplifting	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	Prof. Mamdani’s Curriculum	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	A Makeover for the Anti-Mamdani Campaign	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	New York Officials to Team Up With Wall Street to Keep National Guard Out	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	Mamdani Declares Victory in NYC Mayoral Primary as Cuomo Concedes	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	Living in Zohran Mamdani’s America	No summary available in snippet. (Could be video or online-only content)	
