id	title	description	coding
the-seattle-times	Photos of Zohran Mamdani and his supporters as they celebrate his election as NYC's mayor	No summary available in snippet.	
new-york-magazine	Record-Breaking Early Voting Looks Good for Mamdani	Voters turned out in record numbers during the first weekend of early voting, a possible boon to Zohran Mamdani who benefited from high enthusiasm in June.	
the-wall-street-journal	Downwardly Mobile Elites Love Zohran Mamdani	No summary available in snippet. (Could be video or online-only content)	
new-york-magazine	Bill de Blasio Impostor Dupes U.K. Paper With Fake Anti-Mamdani Quotes	The Times of London was forced to retract an article after it ran quotes criticizing Zohran Mamdani from a person claiming to be former mayor Bill de Blasio.	
los-angeles-times	In emotional speech, Zohran Mamdani defends Muslim identity against ‘racist and baseless’ attacks	Encircled by faith leaders outside a Bronx mosque, Mamdani speaks in emotional terms about the ‘indignities’ long faced by the city’s Muslim population.	
business-insider	Mamdani is officially NYC mayor — read his full acceptance speech here	Zohran Mamdani beat former Democratic Gov. Andrew Cuomo and Republican Curtis Sliwa to win the race. Read his full acceptance speech.	
nypost	NYC restaurateur cancels expansion plans following Zohran Mamdani victory: ‘I’m not signing’	"""We just don't feel that this mayor is suitable to supporting small businesses,"" restaurateur Stratis Morfogen told The Post"	
the-wall-street-journal	Notable & Quotable: Mamdani and Shoplifting	No summary available in snippet. (Could be video or online-only content)	
abc-news	How Mamdani clinched the votes of young people, newcomers to NYC	Exit polls revealed Mamdani captured the majority of votes from the younger population and newcomers to the city.	
new-york-magazine	Schumer Still Mum on Mamdani Endorsement As Election Day Looms	With Election Day less than a week away, Senate majority leader Chuck Schumer has yet to endorse Zohran Mamdani, telling a reporter that they’re continuing to talk.	
the-seattle-times	Zohran Mamdani's rise: From Queens lawmaker to New York City mayor	Zohran Mamdani has stormed onto the national political scene by winning New York City's mayoral election.	
gothamist	Mayor-elect Zohran Mamdani picks Bill de Blasio veteran for top deputy	"Mayor-elect Zohran Mamdani speaks at a press conference at the Unisphere in Queens on Nov. 5, 2025.
 

He named Dean Fuleihan as first deputy and Elle Bisgaard-Church as chief of staff. [ more › ]"	
the-atlantic	Mamdani Has a Point About Rent Control	In an interview, the candidate argued that the policy is essential to get voters on board with pro-housing reforms.	
the-seattle-times	As Republicans retire Pelosi from attack ads, they eye a new villain | Analysis	Nancy Pelosi is out, and Zohran Mamdani is in. Or so Republicans hope.	
ca-national-news	Zohran Mamdani wins New York mayoral race	No detailed summary available in snippet.	
abc-news	WATCH: Fireball from deadly UPS plane crash in Louisville caught on camera	A UPS cargo plane crashed shortly after takeoff in Louisville, Kentucky killing at least seven people.	
abc-news	WATCH: Massive pod of dolphins charges past boat	Whale watching guides off the coast of San Diego, California, were stunned by the sight of thousands of dolphins leaping past their boat.	
the-wall-street-journal	Democrats Fall Into the Mamdani Line	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	The Mamdani Millionaires Supporting the Socialist for NYC Mayor	No summary available in snippet. (Could be video or online-only content)	
the-seattle-times	New York Muslims Exult in Mamdani’s Victory: ‘Now This Is Our Time’	When Zohran Mamdani is sworn in as mayor on Jan. 1, he will become the most prominent Muslim elected official in the U.S. His victory is also an inflection point for New York’s Muslims.	
the-wall-street-journal	Mamdani on Election Day: ‘I Will Not Be Intimidated’ by Trump	No summary available in snippet. (Could be video or online-only content)	
abc-news	WATCH: Trump goes after Mamdani a day after NYC mayoral election	"President Trump said he'll ""take care"" of New York City after self-described democratic socialist Zohran Mandani won the city's mayoral election on Tuesday night."	
business-insider	Zohran Mamdani's most popular policy proposal is raising taxes on millionaires and corporations, new poll finds	Mamdani's most popular proposal, according to the poll, is raising taxes on millionaires and corporations.	
abc-news	WATCH: NJ gubernatorial nominee surprised by son's return from Army on eve of election	While campaigning at a bar in North Jersey on Monday, New Jersey Republican gubernatorial candidate Jack Ciattarelli was surprised by the return of his son, who is currently stationed in Kuwait.	
nbc-news	Views of capitalism slip, but socialism is still unpopular even as Mamdani gains prominence	The share of registered voters with positive views of capitalism has dropped under 50% for the first time in seven years of NBC News polling on the issue — a shift that comes as some democratic socialists, like New York mayoral hopeful Zohran Mamdani, gain pr…	
the-new-york-times	She Runs the N.Y.P.D. He’ll Lead the City. Here’s Where They Disagree.	The New York City mayor-to-be, Zohran Mamdani, and the head of the Police Department, Jessica Tisch, have gaps to bridge on crime and policing.	
business-insider	New York's VCs are opening their wallets to elect Cuomo. Here's the data to prove it.	New York mayoral candidate Zohran Mamdani is ahead in the polls, but most New York VCs are bullish on Cuomo. The numbers back that up.	
new-york-magazine	What Did the 2025 Election Mean?	There’s a lot of excitement following Zohran Mamdani’s and Democrats’ big victories. There are a lot of takes, too. Here are some of the most interesting ones.	
the-wall-street-journal	Democrats Make a Startling Comeback on Election Day	No summary available in snippet. (Could be video or online-only content)	
abc-news	New York City mayoral election results: Mamdani is projected winner in historic win	Follow live election results and candidate updates for NYC’s mayoral race.	
the-new-york-times	Mamdani, Mofongo and Rum: Democratic Squabbles Fade Away, for Now	At an annual gathering in Puerto Rico for New York’s political class, former foes of Zohran Mamdani put aside their differences and tried to get information about his inner circle.	
los-angeles-times	Letters to the Editor: No, Zohran Mamdani’s platform isn’t a fantasy of ‘far-left utopianism’	‘In [contributing writer Josh] Hammer’s recent op-ed, he presents affordable housing, food stability and accessible child care and education as a nightmare. Don’t threaten us with a good time,’ writes an L.A. Times reader.	
business-insider	Mamdani is promising free childcare in NYC. Here's how New Mexico did it — and gave caregivers a raise in the process.	Universal childcare in New York City is one of Zohran Mamdani's affordability promises. New Mexico's new policy shows that is it possible.	
the-seattle-times	New York Mayor-elect Mamdani taps a budget and policy veteran to be his No. 2 at City Hall	New York City Mayor-elect Zohran Mamdani has appointed a veteran of city and state government to be his first deputy mayor as he prepares to carry out his ambitious agenda.	
new-york-magazine	Trump Suggests He’s Open to Meeting Mamdani	President Donald Trump suggested that he was open to meeting with Mayor-elect Zohran Mamdani, telling reporters, ‘We’ll work something out.’	
the-wall-street-journal	Indian Leftists Have Zohran Mamdani Envy	Appeared in the Nov 20, 2025, print edition as 'Indian Leftists Have Zohran Mamdani Envy'	
los-angeles-times	Can L.A. get its own Zohran Mamdani? Two Latina mayors are paving the way	With the recent mayoral win of Zohran Mamdani in New York City, many progressive Angelenos are seeking the West Coast analog.	
nypost	Smirking Mamdani’s scorn for business will not help NYC prosper	“Tax the rich. Billionaire tears not included,” Sen. Liz Warren smugly captioned a photo of her sitdown with Mayor-elect Zohran Mamdani and Lina Khan.	
new-york-magazine	What Do the Final New York Mayoral-Race Polls Say?	With days to go before Election Night, here’s where Zohran Mamdani, Andrew Cuomo, and Curtis Sliwa currently stand in the mayoral polls.	
abc-news	New York will resist Trump 'intimidation,' Mayor-elect Zohran Mamdani says	"Mayor-elect Zohran Mamdani appeared Wednesday on ""Good Morning America."""	
the-wall-street-journal	Seattle Elects Mamdani West	No summary available in snippet. (Could be video or online-only content)	
nbc-news	Zohran Mamdani reaches out to the White House to set up a meeting with Trump	Trump told reporters Sunday that the New York City Mayor-elect had reached out for a meeting. Mamdani's campaign confirmed the outreach the following day.	
the-wall-street-journal	Is a Mayor Mamdani a Blessing in Disguise?	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	WSJ Opinion: Mamdani’s Law-and-Order Police Chief	No summary available in snippet. (Could be video or online-only content)	
the-seattle-times	Zohran Mamdani and London's Muslim mayor, Sadiq Khan, have much in common, but also key differences	As a left-leaning Muslim politician, London Mayor Sadiq Khan shares similarities with New York Mayor-elect Zohran Mamdani.	
the-wall-street-journal	Mamdani Declares Victory in NYC Mayoral Primary as Cuomo Concedes	No summary available in snippet. (Could be video or online-only content)	
business-insider	Home Depot cofounder Ken Langone: 'New York is on the verge of making a monumental mistake'	Ken Langone also had a word of advice for people who take issue with the country overall.	
the-wall-street-journal	Affordability Key Issue for Mamdani Voter	No summary available in snippet. (Could be video or online-only content)	
los-angeles-times	Trump plans to meet with Mamdani, says he’ll ‘work something out’ with New York City’s mayor-elect	President Trump said Sunday that he plans to meet with New York Mayor-elect Zohran Mamdani and says they’ll ‘work something out.’	
the-wall-street-journal	Zohran Mamdani Captures New York	Appeared in the Nov 6, 2025, print edition as 'Mamdani Captures New York'	
the-wall-street-journal	Mamdani Says He Hasn’t Heard from Cuomo, Adams	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	What Is Mamdani’s Millionaire Tax and How Would It Work?	No summary available in snippet. (Could be video or online-only content)	
nbc-news	The GOP's move to take Mamdani national: From the Politics Desk	Republicans are increasingly eager to elevate New York City mayoral front-runner Zohran Mamdani ahead of next year's midterm elections.	
the-new-york-times	Zohran Mamdani Is Elected Mayor of New York City	Mr. Mamdani, a state lawmaker and democratic socialist, will be the first Muslim mayor in the city’s history.	
new-york-magazine	Jeffries Finally Endorses Mamdani in the Most Tepid Way Possible	After holding out for months, at almost the last possible moment before early voting begins, the House minority leader Hakeem Jeffries officially okayed the idea of Zohran Mamdani for mayor.	
the-new-york-times	An Emboldened Mamdani Sheds Conciliatory Tone	Fresh from a stunning victory, Zohran Mamdani, the mayor-elect, said in an interview that his supporters wanted “a politics of consistency” and aggressive action, including on taxing the rich.	
the-seattle-times	Trump plans to meet with Mamdani, says he'll 'work something out' with New York City's mayor-elect	President Donald Trump is indicating that he plans to meet with New York City’s mayor-elect Zohran Mamdani and says they’ll “work something out.”.	
the-wall-street-journal	Mamdani Taps Lina Khan as Transition Team Co-Chair	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	How Do New Yorkers Feel About Mamdani's Mayoral Victory?	No summary available in snippet. (Could be video or online-only content)	
business-insider	A guide to the writers, thinkers, and politicians Mamdani referenced in his victory speech	Mamdani opened his speech with a quote from Eugene Debs, one of the most famous socialists in American history.	
los-angeles-times	New York Mayor-elect Mamdani says the city’s current police commissioner will stay on the job	For Zohran Mamdani, the appointment seals one of the most consequential decisions of his nascent administration and provides further insight into the progressive’s looming stewardship of City Hall.	
